类目名称,买家数,成交金额,搜索人数,成交金额占比,成交金额同比,成交人数占比,成交人数同比,客单价,UV价值,开始日期,结束日期
相机专用遥控器,1794,123677,9994,0.0,-24.48,0.0,-32.42,68.94,12.38,2020-01-01,2020-01-31
BNC头,1898,121561,7373,0.0,-34.58,0.0,-33.3,64.05,16.49,2020-01-01,2020-01-31
USB摆设品/装饰品,509,116439,2376,0.0,7.72,0.0,-59.86,228.76,49.01,2020-01-01,2020-01-31
电池收纳盒,2987,106112,11813,0.0,-24.85,0.0,-14.92,35.52,8.98,2020-01-01,2020-01-31
MSN聊天伴侣,1165,103427,8557,0.0,21.61,0.0,-85.18,88.78,12.09,2020-01-01,2020-01-31
RCA头,2110,103131,10114,0.0,-35.59,0.0,-34.01,48.88,10.2,2020-01-01,2020-01-31
相机挂绳,2069,96033,11149,0.0,37.23,0.0,-9.14,46.42,8.61,2020-01-01,2020-01-31
USB食品加热包/保温盒,680,86560,5085,0.0,22.71,0.0,-8.62,127.29,17.02,2020-01-01,2020-01-31
点读机/点读笔配件,1988,86413,9810,0.0,-48.01,0.0,-39.53,43.47,8.81,2020-01-01,2020-01-31
高压气罐,1791,86090,5907,0.0,-24.32,0.0,12.41,48.07,14.57,2020-01-01,2020-01-31
平板电脑数据线,681,85277,6916,0.0,-33.96,0.0,-36.48,125.22,12.33,2020-01-01,2020-01-31
广角镜,54,83429,2120,0.0,-42.16,0.0,-28.43,1544.98,39.35,2020-01-01,2020-01-31
相机/摄像机专用充电套装,681,80332,3632,0.0,-31.32,0.0,-33.58,117.96,22.12,2020-01-01,2020-01-31
USB暖手套/暖脚鞋,1735,79994,10318,0.0,-35.86,0.0,-38.39,46.11,7.75,2020-01-01,2020-01-31
相机眼罩,2107,79554,9317,0.0,-33.33,0.0,-31.36,37.76,8.54,2020-01-01,2020-01-31
脚架接环,652,74241,2473,0.0,-21.61,0.0,-28.86,113.87,30.02,2020-01-01,2020-01-31
FM/MP3发射器,682,73861,7403,0.0,-32.16,0.0,-23.29,108.3,9.98,2020-01-01,2020-01-31
机顶盒共享器,682,72087,8429,0.0,-46.57,0.0,-17.99,105.7,8.55,2020-01-01,2020-01-31
AV切换器,1200,70023,6675,0.0,-27.01,0.0,-32.81,58.35,10.49,2020-01-01,2020-01-31
笔记本保护壳,1205,69905,9263,0.0,0.0,0.0,0.0,58.01,7.55,2020-01-01,2020-01-31
USB Humping Dog,165,66691,2127,0.0,-52.54,0.0,-37.94,404.19,31.35,2020-01-01,2020-01-31
照片夹子,2647,65360,13463,0.0,-52.31,0.0,-52.52,24.69,4.85,2020-01-01,2020-01-31
热靴水平仪,2129,65065,10643,0.0,49.76,0.0,25.49,30.56,6.11,2020-01-01,2020-01-31
电纸书屏幕贴膜,1741,65033,10635,0.0,-24.12,0.0,-32.1,37.35,6.11,2020-01-01,2020-01-31
单反/单电适配器,679,64738,3150,0.0,22.65,0.0,29.54,95.34,20.55,2020-01-01,2020-01-31
键盘刷,2107,63830,9824,0.0,21.18,0.0,-31.42,30.29,6.5,2020-01-01,2020-01-31
电纸书数据线,861,62905,13009,0.0,-36.38,0.0,-35.35,73.06,4.84,2020-01-01,2020-01-31
USB烟灰缸,1516,60328,2996,0.0,33.39,0.0,0.53,39.79,20.14,2020-01-01,2020-01-31
KVM,55,60266,2110,0.0,-32.46,0.0,-33.04,1095.75,28.56,2020-01-01,2020-01-31
SIM 剪卡钳,2131,59209,9802,0.0,-64.21,0.0,-47.53,27.78,6.04,2020-01-01,2020-01-31
cmos清洁,690,57630,2283,0.0,1.58,0.0,-34.8,83.52,25.24,2020-01-01,2020-01-31
镜头袋/镜头筒,679,54017,4374,0.0,7.95,0.0,-24.47,79.55,12.35,2020-01-01,2020-01-31
电子书手写笔/电磁笔,683,53326,9133,0.0,-34.68,0.0,-94.28,78.08,5.84,2020-01-01,2020-01-31
数码相机适配器,679,52376,4557,0.0,-51.37,0.0,-41.57,77.14,11.49,2020-01-01,2020-01-31
灰板,842,52229,2129,0.0,-21.82,0.0,-34.04,62.03,24.53,2020-01-01,2020-01-31
相机色卡,505,52229,2505,0.0,-19.49,0.0,-34.22,103.42,20.85,2020-01-01,2020-01-31
数码望远镜,6,51697,2134,0.0,108.47,0.0,-49.09,8616.17,24.23,2020-01-01,2020-01-31
手机直播补光灯,489,51660,2046,0.0,0.0,0.0,0.0,105.64,25.25,2020-01-01,2020-01-31
MP3/MP4连接线,197,51368,2838,0.0,-55.27,0.0,-47.99,260.75,18.1,2020-01-01,2020-01-31
单反机身盖,2050,50740,5497,0.0,-50.01,0.0,-31.29,24.75,9.23,2020-01-01,2020-01-31
线缆收纳器/集线器,779,49706,3933,0.0,-66.49,0.0,-50.95,63.81,12.64,2020-01-01,2020-01-31
镜头笔,982,49220,2734,0.0,-31.36,0.0,-33.9,50.12,18.0,2020-01-01,2020-01-31
电纸书充电器,679,48950,2105,0.0,-36.48,0.0,-43.69,72.09,23.25,2020-01-01,2020-01-31
网络切换器,975,48732,2679,0.0,-32.12,0.0,-9.02,49.98,18.19,2020-01-01,2020-01-31
相片角贴,2269,46264,9781,0.0,-35.58,0.0,-42.16,20.39,4.73,2020-01-01,2020-01-31
毛刷,1620,45434,5556,0.0,52.03,0.0,1.75,28.05,8.18,2020-01-01,2020-01-31
户外电源,6,44438,941,0.0,0.0,0.0,0.0,7406.33,47.22,2020-01-01,2020-01-31
保护箱,20,42063,2111,0.0,-24.98,0.0,-34.26,2103.15,19.93,2020-01-01,2020-01-31
液晶屏保护膜,921,24937,5378,0.0,-35.84,0.0,-34.87,27.08,4.64,2020-01-01,2020-01-31
对焦屏,35,22859,2081,0.0,-36.32,0.0,-33.74,653.11,10.98,2020-01-01,2020-01-31
包/箱配件,181,17632,4269,0.0,-32.86,0.0,-24.86,97.41,4.13,2020-01-01,2020-01-31
自拍镜头,1897,16040,8813,0.0,-14.0,0.0,5.79,8.46,1.82,2020-01-01,2020-01-31
MP3/MP4充电器,77,12413,2033,0.0,-49.1,0.0,-50.35,161.21,6.11,2020-01-01,2020-01-31
Lomo相机包,27,11900,1696,0.0,49.61,0.0,11.69,440.74,7.02,2020-01-01,2020-01-31
耳机线夹,675,11563,2147,0.0,-64.59,0.0,-43.2,17.13,5.39,2020-01-01,2020-01-31
手机智能按键,534,9903,8242,0.0,-94.03,0.0,-92.05,18.54,1.2,2020-01-01,2020-01-31
送话器,54,9659,800,0.0,0.0,0.0,0.0,178.87,12.07,2020-01-01,2020-01-31
数码伴侣,36,8721,2108,0.0,-34.89,0.0,11.86,242.25,4.14,2020-01-01,2020-01-31
USB氧吧/空气清新器,21,8655,1998,0.0,144.91,0.0,11.77,412.14,4.33,2020-01-01,2020-01-31
电纸书防护包,597,5017,5892,0.0,-49.15,0.0,-38.8,8.4,0.85,2020-01-01,2020-01-31
USB保暖坐垫/靠垫,25,4970,1703,0.0,-51.82,0.0,-51.94,198.8,2.92,2020-01-01,2020-01-31
MP3/MP4支架,10,4313,1295,0.0,-34.58,0.0,-72.59,431.3,3.33,2020-01-01,2020-01-31
专业摄影背心,10,4252,1199,0.0,-55.33,0.0,-35.17,425.2,3.55,2020-01-01,2020-01-31
MP4屏幕保护膜,22,4195,1008,0.0,-94.94,0.0,-48.76,190.68,4.16,2020-01-01,2020-01-31
配件礼盒套装,5,3838,876,0.0,0.0,0.0,0.0,767.6,4.38,2020-01-01,2020-01-31
USB碎纸机,16,3251,1735,0.0,-19.29,0.0,-34.24,203.19,1.87,2020-01-01,2020-01-31
摄影梯,1,2753,364,0.0,0.44,0.0,0.0,2753.0,7.56,2020-01-01,2020-01-31
手机红外遥控器/发射器,3,2628,580,0.0,0.0,0.0,0.0,876.0,4.53,2020-01-01,2020-01-31
白平衡镜,1,2435,215,0.0,-64.16,0.0,-34.72,2435.0,11.33,2020-01-01,2020-01-31
USB暖手鼠标套,35,2350,570,0.0,0.0,0.0,0.0,67.14,4.12,2020-01-01,2020-01-31
背夹电源,0,303,0,0.0,0.0,0.0,0.0,0.0,0.0,2020-01-01,2020-01-31
Lomo潜水盒,1,279,55,0.0,-32.46,0.0,-24.7,279.0,5.07,2020-01-01,2020-01-31
手机屏幕放大器,6,258,164,0.0,0.0,0.0,0.0,43.0,1.57,2020-01-01,2020-01-31
Lomo闪光灯,1,50,58,0.0,-96.12,0.0,-52.3,50.0,0.86,2020-01-01,2020-01-31
分压盒,0,1,25,0.0,-93.64,0.0,-91.75,0.0,0.04,2020-01-01,2020-01-31
手机同屏器,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,2020-01-01,2020-01-31
移动支付终端机,0,0,4,0.0,-99.95,0.0,-99.95,0.0,0.0,2020-01-01,2020-01-31
苹果卡贴,0,0,22,0.0,-99.95,0.0,-99.95,0.0,0.0,2020-01-01,2020-01-31
手机保护套/壳,17013730,261894944,30961145,24.45,-32.86,41.66,-34.09,15.39,8.46,2020-02-01,2020-02-29
手机贴膜,11209446,186794667,16080470,13.18,-24.81,26.21,-31.36,16.66,11.62,2020-02-01,2020-02-29
手机零部件,699198,174117290,5435178,11.39,-13.71,3.56,-29.82,249.02,32.04,2020-02-01,2020-02-29
手机支架/手机座,2946109,141723377,7441096,9.1,173.29,11.23,66.28,48.11,19.05,2020-02-01,2020-02-29
手机数据线,3902304,128331133,6218936,8.12,-22.55,12.65,-8.57,32.89,20.64,2020-02-01,2020-02-29
平板电脑保护套/壳,1927202,124124410,4547988,7.83,65.23,7.93,40.29,64.41,27.29,2020-02-01,2020-02-29
移动电源,749512,121744283,3897214,7.76,-46.51,4.15,-49.04,162.43,31.24,2020-02-01,2020-02-29
手机充电器,1386142,87657717,4200240,4.88,-24.32,6.39,-23.07,63.24,20.87,2020-02-01,2020-02-29
手写笔,355949,71021845,2013564,3.6,168.53,0.66,225.67,199.53,35.27,2020-02-01,2020-02-29
其它配件,212810,68599468,2820268,3.42,65.12,0.39,-3.45,322.35,24.32,2020-02-01,2020-02-29
手机电池,495408,54049777,2726607,2.92,-31.41,1.65,-32.11,109.1,19.82,2020-02-01,2020-02-29
数据线,2024411,33755592,3981377,1.12,-32.89,8.25,-32.55,16.67,8.48,2020-02-01,2020-02-29
笔记本零部件,85853,31046081,2221959,0.9,-23.07,0.26,38.61,361.62,13.97,2020-02-01,2020-02-29
云台,49408,30735881,507231,0.88,31.23,0.05,66.55,622.08,60.6,2020-02-01,2020-02-29
手机镜头,239321,29270793,1304213,0.87,50.44,0.41,28.0,122.31,22.44,2020-02-01,2020-02-29
耳机保护套,535347,27566897,2682477,0.82,37.37,2.81,41.36,51.49,10.28,2020-02-01,2020-02-29
影室灯,43131,27539290,301650,0.81,25.45,0.04,61.44,638.5,91.3,2020-02-01,2020-02-29
笔记本电脑包,342437,26862293,1782864,0.81,-20.35,0.59,-17.04,78.44,15.07,2020-02-01,2020-02-29
普通干电池,584496,25950806,866809,0.72,-3.19,2.87,11.69,44.4,29.94,2020-02-01,2020-02-29
笔记本电池,58917,18547191,379688,0.46,11.24,0.08,7.89,314.8,48.85,2020-02-01,2020-02-29
涂鸦笔,72952,17881856,587017,0.43,408.21,0.12,423.13,245.12,30.46,2020-02-01,2020-02-29
自拍杆/架,239344,17755312,848923,0.43,11.03,0.41,-4.38,74.18,20.92,2020-02-01,2020-02-29
遥控设备,502058,17359473,1270653,0.4,-10.88,1.93,4.72,34.58,13.66,2020-02-01,2020-02-29
USB HUB/转换器,97259,17349592,706545,0.4,-5.62,0.3,-26.09,178.39,24.56,2020-02-01,2020-02-29
纽扣电池,517320,17009920,956519,0.39,4.91,2.48,6.13,32.88,17.78,2020-02-01,2020-02-29
笔记本电源,96855,16754150,470590,0.39,42.47,0.3,56.13,172.98,35.6,2020-02-01,2020-02-29
笔记本炫彩贴,267432,14566371,1799685,0.38,19.34,0.45,18.09,54.47,8.09,2020-02-01,2020-02-29
背景布类,101970,14300250,850840,0.37,-18.65,0.32,5.19,140.24,16.81,2020-02-01,2020-02-29
平板电脑屏幕贴膜,292516,13489153,584413,0.34,33.09,0.46,11.86,46.11,23.08,2020-02-01,2020-02-29
脚架,43263,11681976,340112,0.32,8.12,0.04,11.23,270.02,34.35,2020-02-01,2020-02-29
笔记本多功能支架/桌,95361,10289127,499730,0.3,51.93,0.3,64.76,107.9,20.59,2020-02-01,2020-02-29
笔记本膝上桌,81798,7665042,836839,0.21,-17.83,0.13,-35.92,93.71,9.16,2020-02-01,2020-02-29
数码收纳整理包,132963,7577375,1035253,0.21,-24.59,0.33,-22.74,56.99,7.32,2020-02-01,2020-02-29
平板电脑外接键盘,24471,7433604,601461,0.13,249.95,0.03,261.81,303.77,12.36,2020-02-01,2020-02-29
清洁液,62160,6953821,43245,0.12,866.11,0.08,692.25,111.87,160.8,2020-02-01,2020-02-29
苹果视频线/转换线,52752,6842645,485236,0.12,-9.13,0.06,-3.13,129.71,14.1,2020-02-01,2020-02-29
USB电脑锁/防盗器,25654,6723894,96218,0.12,-8.33,0.03,-22.72,262.1,69.88,2020-02-01,2020-02-29
笔记本键盘保护膜,367050,6569183,1068883,0.11,25.15,0.67,11.76,17.9,6.15,2020-02-01,2020-02-29
音乐枕,49416,6474614,502504,0.11,2077.43,0.05,2529.13,131.02,12.88,2020-02-01,2020-02-29
平板电脑零部件,43165,6401064,360512,0.11,-17.61,0.04,18.07,148.29,17.76,2020-02-01,2020-02-29
笔记本散热器/降温卡,53317,6150562,451907,0.08,38.7,0.07,21.87,115.36,13.61,2020-02-01,2020-02-29
USB加湿器,71223,6078057,507348,0.08,-32.87,0.11,-32.12,85.34,11.98,2020-02-01,2020-02-29
笔记本屏幕贴膜,64697,6002445,385161,0.08,27.52,0.08,19.63,92.78,15.58,2020-02-01,2020-02-29
USB多功能数码宝,25079,5961042,101530,0.08,754.02,0.03,952.0,237.69,58.71,2020-02-01,2020-02-29
耳机绕线器,311820,5752844,1066935,0.07,-32.28,0.51,-34.05,18.45,5.39,2020-02-01,2020-02-29
摄像机配件,10114,5692596,228889,0.07,-33.85,0.01,-33.12,562.84,24.87,2020-02-01,2020-02-29
数码维修工具,48869,5314225,351312,0.06,-24.75,0.05,3.12,108.74,15.13,2020-02-01,2020-02-29
通用电池充电套装,44898,4689723,228840,0.06,-42.38,0.04,-49.33,104.45,20.49,2020-02-01,2020-02-29
手机挂件/手机链,98025,4609435,689245,0.06,-41.48,0.32,-41.65,47.02,6.69,2020-02-01,2020-02-29
摄影棚,10767,4565122,66122,0.06,-35.62,0.02,-33.11,423.99,69.04,2020-02-01,2020-02-29
读卡器,53015,3821967,301046,0.06,-32.12,0.07,-34.06,72.09,12.7,2020-02-01,2020-02-29
滤镜,12367,3648346,73122,0.05,-26.29,0.02,-34.5,295.01,49.89,2020-02-01,2020-02-29
外拍灯,6567,3639328,55163,0.05,61.9,0.01,86.81,554.18,65.97,2020-02-01,2020-02-29
USB风扇,45925,3508043,428518,0.05,-18.2,0.05,-34.07,76.39,8.19,2020-02-01,2020-02-29
数码相机包,19912,3443975,217092,0.05,-46.37,0.02,-45.83,172.96,15.86,2020-02-01,2020-02-29
视频线/音频线/AV线,83907,3413883,478473,0.05,-13.91,0.21,-24.09,40.69,7.13,2020-02-01,2020-02-29
苹果卡槽,50820,3412390,313733,0.05,124.6,0.06,22.58,67.15,10.88,2020-02-01,2020-02-29
相机闪光灯,2642,3392968,42795,0.04,11.39,0.0,-11.22,1284.24,79.28,2020-02-01,2020-02-29
平板电脑支架,43117,3195092,301563,0.04,87.75,0.04,120.97,74.1,10.6,2020-02-01,2020-02-29
数码相机电池,22811,2950631,81126,0.04,-35.57,0.03,-34.23,129.35,36.37,2020-02-01,2020-02-29
转接环,4547,2870461,44408,0.04,-24.86,0.0,-24.48,631.29,64.64,2020-02-01,2020-02-29
胶卷,7521,2860050,65815,0.04,-34.21,0.01,-35.63,380.28,43.46,2020-02-01,2020-02-29
USB按摩器,9766,2853703,66496,0.04,4553.59,0.01,1554.15,292.21,42.92,2020-02-01,2020-02-29
Lomo镜头,495,2787801,1946,0.04,444.11,0.0,31.12,5631.92,1432.58,2020-02-01,2020-02-29
防潮箱,6102,2495076,43200,0.03,-35.18,0.01,-35.2,408.89,57.76,2020-02-01,2020-02-29
快显胶片,10241,2416082,78456,0.03,-35.3,0.01,-35.34,235.92,30.8,2020-02-01,2020-02-29
车载充电器,20191,2253537,297145,0.03,-24.79,0.02,-35.63,111.61,7.58,2020-02-01,2020-02-29
清洁套装,66913,2239545,297275,0.03,-8.49,0.09,-23.33,33.47,7.53,2020-02-01,2020-02-29
分配器/分频器/分支器,14996,2164417,74231,0.03,-45.25,0.02,-24.3,144.33,29.16,2020-02-01,2020-02-29
手机贴纸,63186,2132960,532888,0.03,-28.55,0.08,-32.58,33.76,4.0,2020-02-01,2020-02-29
数码显微镜,3002,2118387,54289,0.03,-12.91,0.0,-2.9,705.66,39.02,2020-02-01,2020-02-29
触摸屏手套,74617,2055289,300853,0.03,104.8,0.12,291.55,27.54,6.83,2020-02-01,2020-02-29
USB暖手宝/暖手袋,10909,1737194,269801,0.03,0.88,0.02,11.14,159.24,6.44,2020-02-01,2020-02-29
射频器/转换器,18546,1730789,96881,0.03,-12.54,0.02,34.15,93.32,17.87,2020-02-01,2020-02-29
灯附件,8668,1632609,43612,0.03,-31.45,0.01,-24.35,188.35,37.43,2020-02-01,2020-02-29
手机防尘塞,43128,1506531,470613,0.02,-34.57,0.04,-24.86,34.93,3.2,2020-02-01,2020-02-29
USB灯,43099,1435025,242386,0.02,8.87,0.03,-31.64,33.3,5.92,2020-02-01,2020-02-29
USB吸尘器,25741,1428872,91731,0.02,71.29,0.03,64.88,55.51,15.58,2020-02-01,2020-02-29
18650电池,5558,1397517,50371,0.02,-33.15,0.0,-32.89,251.44,27.74,2020-02-01,2020-02-29
电子书保护套,26055,1358710,109712,0.02,-26.64,0.03,-30.42,52.15,12.38,2020-02-01,2020-02-29
镜头纸/镜头布,14349,1298593,44588,0.02,25.09,0.02,-1.81,90.5,29.12,2020-02-01,2020-02-29
USB翻页激光笔,24269,1248321,50342,0.02,-49.52,0.03,-35.61,51.44,24.8,2020-02-01,2020-02-29
快装板,9229,1243770,53291,0.02,39.01,0.01,24.81,134.77,23.34,2020-02-01,2020-02-29
摄影包,2110,1241194,44095,0.02,-34.23,0.0,-35.26,588.24,28.15,2020-02-01,2020-02-29
数码相框,1324,1238233,25077,0.02,-24.42,0.0,-35.16,935.22,49.38,2020-02-01,2020-02-29
擦屏布,19445,1198225,52552,0.02,45.84,0.02,53.43,61.62,22.8,2020-02-01,2020-02-29
USB延长线,25289,1186358,60955,0.01,-20.63,0.03,-24.84,46.91,19.46,2020-02-01,2020-02-29
PDA/掌上电脑,982,1157693,28781,0.01,-48.56,0.0,-52.52,1178.91,40.22,2020-02-01,2020-02-29
相机背带,6990,1097746,51803,0.01,-40.38,0.01,-44.48,157.05,21.19,2020-02-01,2020-02-29
手机直播补光灯,5505,1038591,43218,0.01,0.0,0.0,0.0,188.66,24.03,2020-02-01,2020-02-29
平板电脑包,9915,1001614,189339,0.01,108.29,0.01,87.97,101.02,5.29,2020-02-01,2020-02-29
校色仪,685,948355,9727,0.01,-32.25,0.0,-33.35,1384.46,97.5,2020-02-01,2020-02-29
辅助道具类,9922,928631,91208,0.01,-49.1,0.01,-37.98,93.59,10.18,2020-02-01,2020-02-29
直播专用支架,4245,917165,20075,0.01,0.0,0.0,0.0,216.06,45.69,2020-02-01,2020-02-29
单反手柄,1380,893162,27068,0.01,-24.86,0.0,-33.17,647.22,33.0,2020-02-01,2020-02-29
USB驱蚊器,15537,879826,52746,0.01,11.75,0.02,282.17,56.63,16.68,2020-02-01,2020-02-29
笔记本个性小贴纸,22712,875254,354233,0.01,-35.87,0.03,-35.64,38.54,2.47,2020-02-01,2020-02-29
手机镜头保护贴,27570,868016,73286,0.01,0.0,0.03,0.0,31.48,11.84,2020-02-01,2020-02-29
遥控器,14976,851473,66358,0.01,86.46,0.02,84.03,56.86,12.83,2020-02-01,2020-02-29
平板电脑充电器,6104,841488,43593,0.01,64.74,0.01,27.82,137.86,19.3,2020-02-01,2020-02-29
数码相机充电器,9342,774299,43865,0.01,-32.28,0.01,-33.08,82.88,17.65,2020-02-01,2020-02-29
柔光器具,2110,762421,16686,0.01,-30.7,0.0,-34.72,361.34,45.69,2020-02-01,2020-02-29
单反/单电电池,2118,723815,25639,0.01,-24.83,0.0,-10.9,341.74,28.23,2020-02-01,2020-02-29
加密狗,2066,629648,25413,0.01,0.0,0.0,0.0,304.77,24.78,2020-02-01,2020-02-29
插头/接口,9631,625883,61824,0.01,-32.9,0.01,-26.38,64.99,10.12,2020-02-01,2020-02-29
MP3/MP4保护套,6628,615864,71954,0.01,22.73,0.01,255.37,92.92,8.56,2020-02-01,2020-02-29
闪光灯配件,2124,604990,18286,0.01,-41.56,0.0,-41.4,284.84,33.08,2020-02-01,2020-02-29
USB保温碟/保温垫,3662,560650,60952,0.01,29.04,0.0,70.0,153.1,9.2,2020-02-01,2020-02-29
遮光罩,4127,558492,25857,0.01,-33.31,0.0,-35.61,135.33,21.6,2020-02-01,2020-02-29
平板电脑底座,2322,556789,52552,0.0,-4.31,0.0,226.87,239.79,10.6,2020-02-01,2020-02-29
3G无线上网卡设备,684,526243,16802,0.0,-48.56,0.0,-55.2,769.36,31.32,2020-02-01,2020-02-29
屏幕保护膜,7240,524345,42006,0.0,-2.6,0.01,10.04,72.42,12.48,2020-02-01,2020-02-29
USB暖手鼠标垫,10136,519358,73694,0.0,-27.05,0.01,43.39,51.24,7.05,2020-02-01,2020-02-29
18650电池盒,8501,513263,45629,0.0,-35.34,0.01,-10.27,60.38,11.25,2020-02-01,2020-02-29
脚架配件,2110,509015,21308,0.0,31.2,0.0,25.98,241.24,23.89,2020-02-01,2020-02-29
快门线,2354,487332,19702,0.0,-33.18,0.0,-33.62,207.02,24.74,2020-02-01,2020-02-29
电子书灯,9806,482083,51537,0.0,-32.9,0.01,-16.0,49.16,9.35,2020-02-01,2020-02-29
节电器/省电器,2119,481316,25407,0.0,-51.04,0.0,-54.91,227.14,18.94,2020-02-01,2020-02-29
脚架包,970,475730,8851,0.0,-0.48,0.0,-38.48,490.44,53.75,2020-02-01,2020-02-29
反光器具,3597,474913,19370,0.0,-33.3,0.0,-32.9,132.03,24.52,2020-02-01,2020-02-29
电视高压包,8561,471898,25736,0.0,-33.44,0.01,-32.07,55.12,18.34,2020-02-01,2020-02-29
相机腕带,2505,468064,20184,0.0,-32.24,0.0,-34.25,186.85,23.19,2020-02-01,2020-02-29
闪存卡转接套,5762,427361,30416,0.0,-35.59,0.01,-40.28,74.17,14.05,2020-02-01,2020-02-29
USB电话机/网络电话机,2064,426430,15977,0.0,-8.34,0.0,-30.69,206.6,26.69,2020-02-01,2020-02-29
数码设备外接键盘,1894,424585,50028,0.0,11.02,0.0,19.45,224.17,8.49,2020-02-01,2020-02-29
镜头盖,5561,419937,20199,0.0,-39.72,0.0,-49.03,75.51,20.79,2020-02-01,2020-02-29
取景器,681,407876,10281,0.0,-24.69,0.0,-33.23,598.94,39.67,2020-02-01,2020-02-29
显示器/打印机色彩校正仪,156,406957,8583,0.0,-14.24,0.0,-8.5,2608.7,47.41,2020-02-01,2020-02-29
增距镜,362,406808,6601,0.0,11.7,0.0,-8.61,1123.78,61.63,2020-02-01,2020-02-29
耳塞保护套,6242,406701,50260,0.0,1624.06,0.01,1154.11,65.16,8.09,2020-02-01,2020-02-29
电纸书数据线,2057,406473,18570,0.0,86.29,0.0,84.63,197.6,21.89,2020-02-01,2020-02-29
户外电源,27,403524,5727,0.0,0.0,0.0,0.0,14945.33,70.46,2020-02-01,2020-02-29
微波炉面板,5742,381278,13507,0.0,0.4,0.01,-14.03,66.4,28.23,2020-02-01,2020-02-29
摄影台/静物台,1186,381050,9784,0.0,-35.2,0.0,-35.18,321.29,38.95,2020-02-01,2020-02-29
无线传输设备,201,379336,6647,0.0,-33.58,0.0,-34.86,1887.24,57.07,2020-02-01,2020-02-29
VGA切换器,2581,368916,24188,0.0,-34.71,0.0,-33.63,142.94,15.25,2020-02-01,2020-02-29
测光表,54,361883,3830,0.0,-32.9,0.0,-7.02,6701.54,94.49,2020-02-01,2020-02-29
数据连接线,2050,342602,17997,0.0,-7.09,0.0,-24.97,167.12,19.04,2020-02-01,2020-02-29
一次成像相机专用包,5103,270009,44296,0.0,-24.03,0.0,-8.62,52.91,6.1,2020-02-01,2020-02-29
点读机/点读笔配件,2156,203100,17221,0.0,-35.64,0.0,-35.33,94.2,11.79,2020-02-01,2020-02-29
3D立体眼镜,984,160723,15953,0.0,-86.84,0.0,-43.75,163.34,10.07,2020-02-01,2020-02-29
电子辞典/学习机配件,2112,151912,24660,0.0,-4.84,0.0,72.29,71.93,6.16,2020-02-01,2020-02-29
电池收纳盒,2487,150808,16463,0.0,26.21,0.0,-0.61,60.64,9.16,2020-02-01,2020-02-29
配件礼盒套装,1699,142661,20034,0.0,0.0,0.0,0.0,83.97,7.12,2020-02-01,2020-02-29
RF头,827,136623,9631,0.0,-24.59,0.0,-33.4,165.2,14.19,2020-02-01,2020-02-29
广角镜,24,132607,2120,0.0,-2.06,0.0,-36.85,5525.29,62.55,2020-02-01,2020-02-29
F头,2187,129991,15045,0.0,-35.63,0.0,-25.0,59.44,8.64,2020-02-01,2020-02-29
隔离器/耦合器,929,116767,9830,0.0,-46.17,0.0,-34.24,125.69,11.88,2020-02-01,2020-02-29
气吹,5016,115233,10434,0.0,-25.19,0.0,-24.71,22.97,11.04,2020-02-01,2020-02-29
一次成像相册,2126,112654,25825,0.0,-32.28,0.0,-33.3,52.99,4.36,2020-02-01,2020-02-29
苹果取卡针,8851,112303,19631,0.0,-35.59,0.01,-42.02,12.69,5.72,2020-02-01,2020-02-29
说明书/使用指南,1713,96011,10853,0.0,-53.53,0.0,-35.87,56.05,8.85,2020-02-01,2020-02-29
BNC头,999,86086,5322,0.0,-32.25,0.0,-35.55,86.17,16.18,2020-02-01,2020-02-29
USB摆设品/装饰品,413,86000,2654,0.0,92.99,0.0,-35.62,208.23,32.4,2020-02-01,2020-02-29
RCA头,2110,85993,10460,0.0,-22.63,0.0,-8.57,40.75,8.22,2020-02-01,2020-02-29
MSN聊天伴侣,2190,85771,26804,0.0,37.92,0.0,-34.28,39.16,3.2,2020-02-01,2020-02-29
平板电脑数据线,682,84259,8750,0.0,-24.52,0.0,-24.55,123.55,9.63,2020-02-01,2020-02-29
笔记本保护壳,1226,80036,8741,0.0,0.0,0.0,0.0,65.28,9.16,2020-02-01,2020-02-29
USB迷你冰箱,56,79457,21974,0.0,130.52,0.0,19.54,1418.88,3.62,2020-02-01,2020-02-29
AV切换器,1027,71534,6712,0.0,31.14,0.0,-25.86,69.65,10.66,2020-02-01,2020-02-29
相机专用遥控器,996,71345,9559,0.0,-45.66,0.0,-35.54,71.63,7.46,2020-02-01,2020-02-29
SIM 剪卡钳,2191,68138,10211,0.0,-46.72,0.0,-35.18,31.1,6.67,2020-02-01,2020-02-29
电子书手写笔/电磁笔,840,67957,10206,0.0,-27.01,0.0,-93.5,80.9,6.66,2020-02-01,2020-02-29
高压气罐,1518,67463,8552,0.0,-32.4,0.0,11.73,44.44,7.89,2020-02-01,2020-02-29
单反/单电充电器,878,66477,6030,0.0,-35.61,0.0,-35.18,75.71,11.02,2020-02-01,2020-02-29
USB Humping Dog,54,64346,2101,0.0,-46.95,0.0,-35.6,1191.59,30.63,2020-02-01,2020-02-29
USB食品加热包/保温盒,680,60171,6537,0.0,-34.12,0.0,25.49,88.49,9.2,2020-02-01,2020-02-29
相机眼罩,1803,58109,9127,0.0,-36.07,0.0,-42.27,32.23,6.37,2020-02-01,2020-02-29
