类目名称,买家数,成交金额,搜索人数,成交金额占比,成交金额同比,成交人数占比,成交人数同比,客单价,UV价值,开始日期,结束日期
USB氧吧/空气清新器,25,4893,1996,0.0,-43.11,0.0,-33.3,195.72,2.45,2017-11-01,2017-11-30
白平衡镜,327,4863,682,0.0,-52.35,0.0,311.94,14.87,7.13,2017-11-01,2017-11-30
苹果卡贴,1,4735,686,0.0,-55.8,0.0,-87.52,4735.0,6.9,2017-11-01,2017-11-30
MP3/MP4支架,48,4381,2116,0.0,-54.52,0.0,-35.59,91.27,2.07,2017-11-01,2017-11-30
电纸书防护包,380,4235,2585,0.0,-49.93,0.0,-8.27,11.14,1.64,2017-11-01,2017-11-30
Lomo镜头,5,2635,1720,0.0,-86.91,0.0,94.72,527.0,1.53,2017-11-01,2017-11-30
分压盒,5,137,364,0.0,-73.19,0.0,89.48,27.4,0.38,2017-11-01,2017-11-30
Lomo潜水盒,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,2017-11-01,2017-11-30
手机保护套/壳,24128514,370466642,38323900,29.28,5.78,59.77,-24.93,15.35,9.67,2017-12-01,2017-12-31
手机贴膜,15866514,192231870,21467046,13.58,25.28,27.9,-17.82,12.12,8.95,2017-12-01,2017-12-31
移动电源,2626074,189580032,9707948,12.16,-2.47,8.4,-18.85,72.19,19.53,2017-12-01,2017-12-31
手机零部件,769735,175149208,5700352,11.22,-24.16,2.94,-35.86,227.54,30.73,2017-12-01,2017-12-31
手机数据线,3964479,140589247,6773054,7.98,36.96,11.47,13.77,35.46,20.76,2017-12-01,2017-12-31
手机充电器,1621282,99114698,4798281,4.85,68.36,5.08,17.58,61.13,20.66,2017-12-01,2017-12-31
手机电池,791988,98452169,3596105,4.82,55.79,2.99,-11.77,124.31,27.38,2017-12-01,2017-12-31
手机支架/手机座,1998668,61665075,4328897,2.81,22.55,7.28,-32.49,30.85,14.24,2017-12-01,2017-12-31
平板电脑保护套/壳,850217,60503568,2682742,2.62,-28.68,3.18,-26.64,71.16,22.55,2017-12-01,2017-12-31
笔记本零部件,76933,60407486,572729,2.53,-24.96,0.08,-43.72,785.2,105.47,2017-12-01,2017-12-31
数据线,2306231,56058252,4643050,2.25,0.04,8.22,-9.2,24.31,12.07,2017-12-01,2017-12-31
其它配件,301476,45892980,2190308,0.99,333.98,0.4,347.7,152.23,20.95,2017-12-01,2017-12-31
笔记本电脑包,382476,31418551,1375275,0.84,-17.81,0.48,-1.16,82.15,22.85,2017-12-01,2017-12-31
影室灯,42355,27737896,262135,0.66,36.49,0.03,19.45,654.89,105.82,2017-12-01,2017-12-31
普通干电池,529801,27541613,970895,0.62,38.06,1.02,33.1,51.98,28.37,2017-12-01,2017-12-31
云台,19503,20603415,176862,0.47,378.2,0.02,310.05,1056.42,116.49,2017-12-01,2017-12-31
背景布类,201204,18837692,1370792,0.4,61.85,0.32,65.5,93.62,13.74,2017-12-01,2017-12-31
遥控设备,507568,18800355,1311140,0.4,25.09,0.92,39.15,37.04,14.34,2017-12-01,2017-12-31
脚架,51165,18785765,306833,0.4,-17.44,0.04,-24.22,367.16,61.22,2017-12-01,2017-12-31
手机镜头,169023,18684014,836260,0.4,86.56,0.3,184.51,110.54,22.34,2017-12-01,2017-12-31
摄像机配件,24226,17881700,314489,0.38,7.72,0.02,11.03,738.12,56.86,2017-12-01,2017-12-31
笔记本电池,52731,17740435,275249,0.37,0.85,0.05,-10.84,336.43,64.45,2017-12-01,2017-12-31
USB HUB/转换器,163376,17561621,550819,0.36,31.12,0.3,-0.35,107.49,31.88,2017-12-01,2017-12-31
自拍杆/架,232244,17425017,673901,0.35,-12.54,0.33,-32.22,75.03,25.86,2017-12-01,2017-12-31
纽扣电池,542674,17319117,920215,0.35,24.61,1.06,31.16,31.91,18.82,2017-12-01,2017-12-31
通用电池充电套装,179237,14575393,420544,0.33,-18.4,0.31,-18.52,81.32,34.66,2017-12-01,2017-12-31
USB加湿器,282827,14136356,1790928,0.32,2809.8,0.37,5774.5,49.98,7.89,2017-12-01,2017-12-31
数码相机包,54251,13024113,340737,0.3,-17.86,0.06,-18.5,240.07,38.22,2017-12-01,2017-12-31
笔记本电源,67102,10655504,329215,0.26,-31.33,0.07,-22.76,158.8,32.37,2017-12-01,2017-12-31
笔记本炫彩贴,163015,9905977,728736,0.21,21.84,0.3,13.92,60.77,13.59,2017-12-01,2017-12-31
平板电脑零部件,43133,8446449,330318,0.12,-4.11,0.03,-33.29,195.82,25.57,2017-12-01,2017-12-31
摄影棚,25768,8045052,112738,0.12,25.69,0.02,36.96,312.21,71.36,2017-12-01,2017-12-31
数码收纳整理包,187865,7709925,718176,0.12,21.57,0.31,-3.82,41.04,10.74,2017-12-01,2017-12-31
滤镜,41496,7356789,96628,0.11,-24.68,0.03,-18.09,177.29,76.14,2017-12-01,2017-12-31
耳机保护套,208544,7107709,662058,0.11,22.71,0.32,17.68,34.08,10.74,2017-12-01,2017-12-31
平板电脑屏幕贴膜,239868,6779283,451474,0.09,-14.58,0.34,-32.2,28.26,15.02,2017-12-01,2017-12-31
快显胶片,43141,6688197,101642,0.08,8.0,0.03,11.21,155.03,65.8,2017-12-01,2017-12-31
手写笔,49842,6660483,297907,0.08,55.1,0.04,25.52,133.63,22.36,2017-12-01,2017-12-31
数码相机电池,43702,6391716,96983,0.08,-17.4,0.03,-16.67,146.26,65.91,2017-12-01,2017-12-31
相机闪光灯,8526,6372209,53105,0.08,-8.59,0.01,-9.55,747.39,119.99,2017-12-01,2017-12-31
苹果视频线/转换线,50552,6363882,325239,0.08,-0.1,0.04,17.73,125.89,19.57,2017-12-01,2017-12-31
手机挂件/手机链,313638,6342975,1733942,0.08,17.24,0.4,13.27,20.22,3.66,2017-12-01,2017-12-31
读卡器,82857,6299529,410989,0.08,4.33,0.11,-21.71,76.03,15.33,2017-12-01,2017-12-31
耳机绕线器,451787,6236899,883524,0.07,0.88,0.72,-27.01,13.8,7.06,2017-12-01,2017-12-31
笔记本多功能支架/桌,49847,6203771,297876,0.07,19.59,0.04,65.05,124.46,20.83,2017-12-01,2017-12-31
笔记本键盘保护膜,301881,6093178,596623,0.06,-9.04,0.4,-20.22,20.18,10.21,2017-12-01,2017-12-31
防潮箱,9536,5813588,44007,0.06,-6.7,0.01,-10.9,609.65,132.11,2017-12-01,2017-12-31
USB翻页激光笔,46277,5432723,82765,0.06,-6.34,0.04,21.36,117.4,65.64,2017-12-01,2017-12-31
USB电脑锁/防盗器,9638,5413893,66445,0.06,168.52,0.01,-18.62,561.72,81.48,2017-12-01,2017-12-31
转接环,6921,5234153,47087,0.05,21.25,0.0,-23.27,756.27,111.16,2017-12-01,2017-12-31
分配器/分频器/分支器,20092,5106959,76933,0.05,13.29,0.02,-4.31,254.18,66.38,2017-12-01,2017-12-31
数码维修工具,31911,4653178,240076,0.05,107.35,0.03,142.91,145.82,19.38,2017-12-01,2017-12-31
视频线/音频线/AV线,96553,4560773,482813,0.05,68.57,0.12,87.37,47.24,9.45,2017-12-01,2017-12-31
PDA/掌上电脑,2590,4513640,44742,0.04,17.55,0.0,-4.38,1742.72,100.88,2017-12-01,2017-12-31
辅助道具类,45583,4378824,357353,0.04,-32.08,0.04,-24.28,96.06,12.25,2017-12-01,2017-12-31
车载充电器,49004,3648840,430006,0.04,8.56,0.04,-19.33,74.46,8.49,2017-12-01,2017-12-31
笔记本屏幕贴膜,52937,3644244,297529,0.04,19.11,0.05,-6.63,68.84,12.25,2017-12-01,2017-12-31
射频器/转换器,15846,3564874,73235,0.04,-17.97,0.01,-6.77,224.97,48.68,2017-12-01,2017-12-31
笔记本散热器/降温卡,53117,3515195,299602,0.04,-17.12,0.05,-0.69,66.18,11.73,2017-12-01,2017-12-31
涂鸦笔,10633,3489812,86208,0.04,87.5,0.01,137.09,328.21,40.48,2017-12-01,2017-12-31
数码相框,2118,3400252,52405,0.04,5.5,0.0,-26.33,1605.41,64.88,2017-12-01,2017-12-31
手机防尘塞,44596,3397272,313917,0.04,68.33,0.03,-35.16,76.18,10.82,2017-12-01,2017-12-31
灯附件,10649,3104379,45846,0.04,18.51,0.01,-8.13,291.52,67.71,2017-12-01,2017-12-31
外拍灯,2119,3043670,27109,0.03,120.29,0.0,171.86,1436.37,112.28,2017-12-01,2017-12-31
电子书保护套,49102,2893268,169936,0.03,13.62,0.04,-7.33,58.92,17.03,2017-12-01,2017-12-31
数码显微镜,5035,2890633,53242,0.03,-4.61,0.0,7.88,574.11,54.29,2017-12-01,2017-12-31
笔记本膝上桌,49166,2860919,560790,0.03,1034.55,0.04,1930.92,58.19,5.1,2017-12-01,2017-12-31
